好	a
庄	hb
厂	hc
厅	hd
儿	he
反	hf
广	hg
孝	hh
应	hi
爷	hj
原	hk
辽	hl
居	hm
都	hn
孔	ho
盾	hp
度	hr
生	hs
疾	ht
老	hu
尽	hv
无	hw
床	hx
底	hy
子	hz
欲	ia
八	ib
州	ic
当	id
尖	ie
随	if
谷	ig
光	ih
举	ii
公	ij
否	ik
还	il
阴	im
阳	in
空	io
院	ip
前	iq
并	ir
少	is
医	it
学	iu
际	iv
半	iw
小	ix
常	iy
分	iz
情	ja
必	jb
臣	jc
导	jd
雅	je
改	jf
骨	jg
性	jh
快	ji
己	jj
怕	jk
道	jl
目	jm
慢	jn
通	jo
惊	jp
卫	jq
异	jr
身	js
头	jt
死	ju
卧	jv
离	jw
心	jx
已	jy
自	jz
吹	ka
吐	kb
员	kc
啦	kd
因	ke
国	kf
嘴	kg
回	kh
只	ki
呀	kj
口	kk
吸	kl
固	km
喝	kn
另	ko
品	kp
求	kq
吨	kr
事	ks
吃	kt
叫	ku
吓	kv
吗	kw
听	kx
吻	ky
哪	kz
请	la
诗	lb
讲	lc
订	ld
谁	le
变	lf
该	lg
乎	lh
说	li
记	lj
识	lk
话	ll
诞	lm
旧	ln
乱	lo
计	lp
千	lq
诺	lr
认	ls
语	lt
调	lu
让	lv
万	lw
某	lx
言	ly
之	lz
脆	ma
肚	mb
肼	mc
腿	md
失	me
故	mf
古	mg
克	mh
脱	mi
么	mj
名	mk
乏	ml
多	mm
胆	mn
血	mo
腕	mp
长	mq
肉	mr
腹	mt
腻	mu
入	mv
然	mw
朱	mx
月	my
刖	mz
次	na
里	nb
冰	nc
时	nd
准	ne
旺	nf
题	ng
星	nh
决	ni
最	nj
况	nk
运	nl
明	nm
昌	nn
动	no
影	np
气	nq
日	nr
申	ns
需	nt
映	nu
冲	nv
晚	nw
果	nx
云	ny
早	nz
数	oa
基	ob
项	oc
豆	od
类	oe
攻	of
工	og
饭	oh
办	oi
九	oj
加	ok
力	ol
期	om
农	on
功	oo
馆	op
其	oq
风	or
食	os
粗	ot
彭	ou
凡	ov
瓦	ow
斯	ox
用	oy
饶	oz
安	pa
官	pb
阔	pc
守	pd
害	pe
支	pf
高	pg
字	ph
京	pi
实	pj
问	pk
门	pm
间	pn
协	po
定	pq
赛	pr
十	ps
直	pt
南	pu
宗	pv
家	pw
所	px
房	py
戴	pz
画	qb
卅	qc
正	qg
到	qj
副	qk
更	qn
鳞	qo
鲸	qp
再	qu
灭	qv
鲜	qw
鱼	qy
警	ra
苗	rb
顿	rc
萧	rd
菜	re
若	rf
荒	rg
著	rh
凶	ri
节	rj
开	rk
带	rl
严	rm
草	rn
世	ro
芦	rp
艾	rr
四	rs
莉	rt
英	ru
蒜	rv
获	rw
杀	rx
业	ry
茅	rz
你	sa
仕	sb
侧	sc
付	sd
偷	se
全	sf
位	sg
优	sh
假	si
例	sj
后	sk
他	sl
民	sm
会	sn
亿	so
们	sp
便	sq
人	sr
从	ss
作	st
化	su
住	sv
件	sw
体	sx
低	sy
伐	sz
每	ta
等	tb
簿	tc
耐	td
而	te
磨	tf
年	tg
季	th
秒	ti
县	tj
知	tk
秀	tl
笑	tm
香	tn
短	to
管	tp
且	tq
舞	tr
书	ts
租	tt
笔	tu
种	tv
五	tw
乘	tx
笏	ty
第	tz
约	ua
周	ub
经	uc
绿	ud
维	ue
发	uf
军	ug
见	uh
东	ui
惠	uj
织	uk
级	ul
毛	um
旨	un
红	uo
皮	up
七	uq
纯	ur
内	us
组	ut
比	uu
留	uv
写	uw
乡	ux
纸	uy
切	uz
炮	va
社	vb
烦	vc
灯	vd
烛	ve
主	vf
祉	vg
火	vh
炒	vi
忠	vj
占	vk
煤	vl
餐	vm
神	vn
为	vo
炉	vp
福	vq
义	vr
示	vs
祖	vt
视	vu
卡	vv
祥	vw
下	vx
炫	vy
中	vz
狗	wa
特	wb
驯	wc
虐	wd
二	we
狂	wf
骇	wg
元	wh
击	wi
犯	wj
告	wk
两	wl
马	wm
牛	wn
与	wo
驴	wp
犬	wq
虚	wr
鼠	ws
兔	wt
制	wu
养	wv
骥	wx
物	wy
骁	wz
欣	xa
本	xb
耕	xc
村	xd
棒	xe
权	xf
干	xg
版	xh
平	xi
相	xj
整	xk
近	xl
木	xm
查	xn
机	xo
片	xp
梗	xq
模	xr
枪	xs
梅	xt
北	xu
标	xv
样	xw
林	xx
校	xy
刊	xz
要	ya
亩	yb
贾	yc
衬	yd
帷	ye
方	yf
覆	yg
裤	yh
商	yi
忽	yj
帕	yk
六	yl
帐	ym
帽	yn
帆	yo
酉	yq
文	yr
夜	ys
族	yt
被	yu
补	yv
勿	yw
西	yx
市	yy
初	yz
威	za
铺	zb
预	zc
刀	zd
锥	ze
锋	zf
戈	zg
尧	zh
费	zi
金	zj
或	zk
引	zl
张	zm
弱	zn
成	zo
针	zp
错	zr
锈	zt
钢	zu
钟	zv
戊	zw
柔	zx
予	zy
钱	zz
毒	aad
敖	aaf
赘	aafc
螯	aafe
聱	aafj
遨	aafl
鳌	aafq
熬	aafv
骜	aafw
獒	aafw
鏊	aafz
姆	aam
婧	aamj
纛	aat
妁	aav
婊	aay
勹	aba
娃	abb
甸	abd
嫱	abi
嫂	abl
匍	abp
娉	abq
嫘	abu
妯	abz
负	acf
责	acz
刍	adc
雏	ade
煞	adf
邹	adi
急	adj
争	adl
皱	adu
妗	aeo
鸲	aeq
嫒	aeu
媛	aew
姨	aez
麸	afe
孥	afh
怒	afj
麦	afm
胬	afmn
奴	afn
努	afo
驽	afw
帑	afy
弩	afz
嫜	agn
句	ago
姚	ahc
好	ahh
詹	ahi
危	ahj
媚	ahl
嫉	aht
妮	ahu
姥	ahul
娓	ahuw
妩	ahw
娠	ahwy
姓	ahx
婀	aid
尔	aie
玺	aif
迩	ail
妙	aim
婵	aio
嫌	aiq
妪	air
姘	airp
嫦	aiy
娣	aiz
包	ajb
妃	ajf
勾	ajg
姬	ajj
媳	ajjx
始	ajk
句	aju
刨	ajz
娱	ake
姻	akey
恕	akj
娟	akm
婢	akmp
如	akr
媲	akru
絮	aku
娲	akus
象	akw
向	akx
訇	alh
奶	aln
她	alt
媒	alx
静	ama
妊	amb
娥	amd
妖	ame
娇	amei
姑	amg
够	amm
靛	amp
青	amq
靓	amu
姝	amx
娌	anb
妲	and
郇	ani
娼	ann
龟	ano
媪	anoa
女	anv
旬	anx
孀	anxj
匀	any
妞	aob
奥	aoe
触	aoec
婿	aog
觖	aoi
觥	aoih
觯	aoio
角	aoj
嬉	aok
姊	aol
斛	aon
觚	aoo
劬	aoq
觞	aot
姒	aov
觫	aox
解	aoz
蟹	aoze
邂	aozl
妒	apd
妓	apf
嫔	api
婉	apm
姹	apmu
婶	apn
婷	apu
嫁	apw
娴	apx
婕	aqd
嫣	aqg
欠	aqi
匐	aqk
匈	ari
嫫	arn
媸	arq
媾	aru
妍	ary
娅	arya
姐	atj
嬷	atm
奂	aue
素	aus
妣	auu
姗	auuq
娘	avd
久	avj
妫	avo
勺	avs
灸	avv
妈	awm
娩	awmi
色	aws
奸	axj
嫩	axk
妹	axm
表	ayb
妨	ayf
嫡	ayi
嬗	ayk
婚	ayn
姣	ayr
嫖	ayv
娆	azh
娜	azi
妤	azy
坎	bak
垧	baks
坶	bam
均	ban
舄	bav
埔	bbb
畦	bbbq
封	bbd
圭	bbg
墙	bbi
恚	bbj
舅	bbo
埔	bbp
埠	bbpb
卦	bbv
坝	bcb
盥	bco
圳	bcz
墚	bczx
埭	bdc
町	bdd
坷	bdk
寺	bds
埽	bdu
圩	bdw
圩	bdx
垠	bdy
堆	bed
畸	bedk
埒	bedl
畴	bem
埯	ben
埝	beo
坞	bew
垮	bewo
略	bfk
畋	bft
甫	bfu
垓	bgg
培	bgk
垃	bgl
境	bgn
疃	bgnb
舆	bgq
址	bgz
墀	bhc
塘	bhd
墉	bhdl
坂	bhf
畈	bhff
圹	bhk
塬	bhki
声	bhl
磬	bhlf
謦	bhll
馨	bhln
罄	bhlo
堵	bhn
坜	bho
堀	bhr
坭	bhu
逵	bib
坏	bih
垲	bij
啬	bik
堰	bin
坯	biq
块	bis
增	biv
畔	biw
幸	bix
邮	biy
丧	biys
臼	bji
却	bjj
垴	bjn
劫	bjo
盍	bjoh
圮	bjp
去	bjq
思	bjs
埃	bjt
圯	bjy
志	bjz
颉	bkc
埙	bkcx
埕	bkf
吉	bkj
埤	bkm
埚	bku
袁	bky
逋	blb
赫	blbl
赤	blc
迪	bld
地	blde
地	bldi
赦	blf
螫	blfe
叟	blfs
坩	blg
赭	blh
郝	bli
赧	blj
圾	blv
追	blz
埏	bmg
堋	bmm
胃	bmw
胄	bmz
埋	bnb
埘	bnd
堤	bng
坤	bnk
墁	bno
坛	bnt
塌	bnu
埸	bny
嬲	boa
场	bom
男	bon
堪	boo
毁	boof
垛	box
塄	boy
阜	bpf
墩	bph
畹	bpm
填	bpt
埴	bptz
壕	bpu
坨	bput
垸	bpw
畀	bqi
垤	bqj
塥	bqk
埂	bqn
塔	bre
堞	bro
垭	bry
舁	bryu
士	bsh
界	bsi
堠	bsit
垢	bsk
畛	bsu
臾	bsy
田	bti
圪	bto
土	btu
毂	bug
累	bul
壳	buo
坳	buoa
懿	buoj
悫	buoj
壹	buoy
坡	bup
爨	buq
彀	buqf
觳	buqf
垌	buqk
璺	buqv
壶	bur
毗	buu
坍	buy
款	bva
垆	bvh
坫	bvk
盐	bvo
垅	bwl
垣	bwn
圬	bwo
畎	bwq
墟	bwr
堍	bwt
坪	bxi
圻	bxq
坼	bxv
堙	byb
坊	byf
敷	byff
墒	byi
壤	byk
坑	byo
坟	byr
坻	byv
畏	byw
域	bzk
城	bzo
渍	cac
赡	cah
澹	cahl
沟	caj
泡	cajp
洳	cak
清	cam
洵	can
淘	cao
澳	caoe
汝	car
涣	cau
洼	cbb
溥	cbd
赙	cbdf
贝	cbe
法	cbj
溘	cbjo
洁	cbk
溲	cbl
渭	cbm
浦	cbp
淠	cbq
漯	cbu
油	cby
甾	cbz
婴	cca
鹦	ccae
淄	ccb
淼	ccc
川	cch
渤	ccho
巛	cchu
渎	ccj
赎	ccjs
溢	cco
泾	ccoj
罂	ccoy
顺	ccs
溅	ccz
渌	cdc
浔	cdd
湃	cde
溉	cdj
河	cdk
财	cdm
汀	cdt
浸	cdu
津	cdw
浙	cdx
滔	ceb
溃	cec
溃	cech
潜	cee
浮	ceh
淮	cehu
浃	cei
潋	ceif
潦	ceii
添	cej
泠	cejl
洽	cek
瀹	cekr
沣	cel
滟	celw
涛	cem
淫	cemb
渝	cemz
淹	cen
溱	cet
溪	ceu
汰	cev
浊	cez
败	cfb
滩	cfe
蠹	cfee
洚	cfg
汉	cfh
湎	cfj
洛	cfk
赂	cfkl
贿	cfm
洧	cfmw
汊	cfv
汪	cfw
泽	cfwl
涤	cfx
橐	cfxt
流	cgc
鎏	cgcz
潞	cgf
赅	cgg
涉	cgi
濒	cgic
赔	cgk
涪	cgkf
瀛	cgkv
涟	cgl
澈	cgm
漳	cgn
潼	cgnb
澄	cgo
泣	cgq
渐	cgx
汛	cgxu
滂	cgy
浞	cgz
赃	chb
涯	chbb
孛	chbe
涵	chc
洮	chct
溏	chd
鹁	che
贩	chf
滏	chfi
潺	chh
濂	chi
源	chk
湄	chl
漏	chn
赌	chnd
渚	chnz
勃	cho
沥	chol
渥	chq
渡	chr
泥	chu
赆	chv
赈	chw
溽	chwd
派	chy
涮	chyz
娑	cia
洲	cic
凼	cid
挲	cids
涔	cie
汇	cih
浜	cii
渠	ciix
消	cim
渊	cio
泐	ciol
赚	ciq
鲨	ciqs
滋	ciqu
湔	ciqz
沤	cir
沙	cis
汕	cish
滁	cisi
淌	cit
湍	citt
赠	civ
泮	ciw
浴	ciy
裟	ciys
汾	ciz
涕	cizm
湓	cizo
泌	cjb
濞	cjbi
渗	cje
洱	cjer
濉	cjes
滠	cjf
滑	cjh
井	cji
浚	cjif
渺	cjim
洎	cjj
治	cjk
贻	cjky
泪	cjl
泌	cjm
涌	cjo
沁	cjq
汜	cjs
滥	cjt
觌	cju
溴	cjw
漓	cjwl
洌	cjz
泊	ckb
洇	cke
湟	ckf
洄	ckh
贶	ckhk
涓	ckm
涸	ckmh
渑	ckn
泊	ckp
赇	ckq
囊	ckr
澧	ckro
泅	cks
涡	cku
漶	ckv
邕	ckw
溷	ckwh
涠	ckwl
澡	ckx
激	cky
池	clc
泔	clg
活	clh
进	clj
浒	clt
汲	clv
巡	clx
滦	clxl
湾	clz
沃	cme
鋈	cmez
沽	cmg
涎	cmgl
泛	cml
贬	cmlb
湖	cmm
洫	cmo
账	cmq
淝	cmw
汐	cmx
洙	cmxz
渴	cna
涅	cnb
沓	cnd
汩	cng
汨	cnm
泖	cnma
温	cno
漫	cnof
灏	cnp
汽	cnq
湿	cnr
瀑	cnrc
沓	cnt
濡	cntr
混	cnu
灞	cnum
溻	cnut
巢	cnx
剿	cnxz
赐	cny
瀵	cob
颈	coc
澍	cod
鸿	coe
没	cof
巯	cog
江	coj
澉	cojf
沿	cok
迳	col
汤	com
烫	comv
浓	con
劲	coo
蠲	cooe
湛	cooz
淇	coq
澎	cou
染	cox
澌	coxs
益	coy
刭	coz
涫	cpb
泞	cpd
润	cpf
滓	cpg
沪	cph
淳	cphc
溶	cpi
滨	cpii
涧	cpn
潮	cpnm
渖	cpns
瀚	cpnu
贮	cpq
淀	cpqg
演	cpqi
滇	cpt
沱	cpu
濠	cpuw
淙	cpv
渲	cpw
浣	cpwh
澜	cpx
汁	cpz
沔	cql
赋	cqu
渔	cqy
沛	cqyp
潢	crb
潇	crd
沌	crdu
淆	crf
浠	crfy
洪	cri
港	crij
汹	crix
灌	crk
滞	crl
漠	crn
漕	crnn
泄	cro
渫	crox
泗	crs
涝	cru
潆	cruu
滢	cruv
满	crw
懑	crwj
漭	crwr
沌	crz
涂	csd
溆	csdf
水	csh
氵	cshu
巛	cshu
沧	csj
脊	csm
泯	csmi
溯	csms
浍	csn
濮	csr
沦	csu
赊	csv
海	cta
潘	cti
潲	ctim
沮	ctj
浯	ctk
沲	ctl
汔	cto
滗	ctu
湫	ctv
婆	cua
波	cub
潍	cue
泱	cuey
濯	cuez
浑	cug
沈	cuh
深	cui
泺	cuil
溟	cun
沉	cuo
泼	cup
洞	cuq
索	cus
溜	cuv
泻	cuw
柒	cux
沏	cuz
浈	cvc
浪	cvd
注	cvf
泸	cvh
淑	cvi
贴	cvk
沾	cvkz
瀣	cvm
淖	cvn
泳	cvo
沩	cvov
淡	cvv
汴	cvvb
赕	cvvd
漪	cwe
洗	cwh
潴	cwhn
沅	cwhy
滤	cwj
浩	cwk
泷	cwl
滹	cwlh
邋	cwll
漉	cwlu
浼	cwm
洹	cwn
污	cwo
泷	cws
漾	cwv
涿	cwvz
洋	cwy
汗	cxh
涞	cxi
淞	cxij
湘	cxj
濑	cxk
漱	cxka
涑	cxks
沐	cxm
沫	cxmo
渣	cxn
漆	cxs
沭	cxv
淋	cxx
漤	cxxa
潸	cxxm
淅	cxxx
沂	cxy
湮	cyb
页	cye
滴	cyi
澶	cyk
潭	cyn
沆	cyo
酒	cyq
济	cyr
汶	cyrw
浏	cyrz
洒	cys
淤	cysn
淬	cysp
液	cysv
游	cyt
漩	cytg
泫	cyu
漂	cyv
溧	cyx
贼	czf
淦	czg
浇	czh
沸	czi
粱	czio
梁	czix
贱	czj
泓	czjh
沼	czk
涨	czm
溺	czn
浅	czq
涩	czv
则	czz
掐	dab
挣	dad
抱	daj
拘	daju
拇	dam
掏	dao
掬	daoj
换	dau
挂	dbb
捕	dbbu
抽	dbc
搏	dbd
撂	dbf
拮	dbk
撷	dbkc
搜	dbl
摞	dbu
撄	dcc
顶	dcd
攮	dck
录	dcl
逮	dcld
隶	dcli
逯	dcll
拶	dcm
寸	dcu
剥	dcz
打	ddd
丁	ddi
挝	ddl
捃	ddm
扫	dds
寻	ddx
捋	ded
掎	dedk
揍	dee
撵	deeg
扶	def
捡	dei
捣	deid
撩	deii
挟	deix
拎	dej
掭	dejt
拾	dek
搿	dekd
携	del
挞	delt
揄	dem
掩	den
摇	deo
捻	deoj
排	dep
拜	depb
推	det
授	deu
捺	dev
援	dew
捧	dewl
挎	dewo
抓	dez
摊	dfe
掇	dff
搡	dffx
拓	dft
搔	dfv
择	dfw
接	dga
扯	dgc
揆	dge
掊	dgk
拉	dgl
撤	dgm
撞	dgn
揞	dgna
揞	dgny
搬	dgo
捉	dgz
捱	dhb
挑	dhc
拯	dhcq
搪	dhd
抚	dhf
扳	dhfb
摒	dhi
扼	dhj
扩	dhk
擗	dhkp
据	dhm
握	dhq
拷	dhqo
掘	dhr
摭	dhrv
搌	dhry
撅	dhs
扰	dhv
掂	dhvk
搋	dhw
振	dhwy
扒	dib
抄	dic
挡	did
撑	didc
拦	die
摧	diec
掷	diei
拒	dii
肃	diis
撺	dik
捎	dim
揠	din
控	dio
掸	diod
扒	dip
搛	diq
拼	dir
抠	dirk
抉	dis
揣	dit
搅	diu
拌	diw
撙	diy
扮	diz
掰	dizd
擤	djb
掺	dje
报	djf
摄	djff
揶	dji
彐	dji
既	djih
暨	djin
即	djj
攫	djjf
撰	djji
抬	djk
看	djka
捅	djo
拚	djr
挨	djt
揽	djth
损	dkc
歌	dkd
哥	dkdk
摁	dke
掴	dkf
揖	dkj
扣	dkk
捐	dkm
捭	dkmp
拐	dko
捌	dkoz
拍	dkp
掼	dkpc
挹	dkw
操	dkx
捆	dkxk
插	dlb
过	dlg
括	dlk
扦	dlq
扔	dlr
捶	dlrw
迂	dly
肀	dlyu
挺	dmb
才	dmc
挢	dme
君	dmk
郡	dmki
群	dmkw
托	dmu
尹	dmy
揭	dna
捏	dnb
擂	dnbl
抻	dnc
担	dnd
攉	dne
提	dng
撮	dnj
拽	dno
抖	dnp
捍	dnx
押	dny
抑	dnyi
搂	doa
擞	doaf
扭	dob
摆	dobj
投	dof
扛	dog
撖	doj
扛	dok
扬	dom
抛	doo
擐	doq
执	dov
垫	dovb
贽	dovc
挚	dovd
蛰	dove
鸷	dove
势	dovo
拟	dovs
絷	dovu
撕	dox
拥	doy
盂	doyu
扎	doz
按	dpa
拧	dpd
技	dpf
搁	dpfk
搞	dpg
护	dph
掠	dpi
摈	dpii
擦	dpm
扪	dpme
掮	dpmq
擀	dpn
捩	dpw
揎	dpwn
捷	dqd
撸	dqn
描	drb
搭	dre
拱	dri
拙	driz
撒	drm
措	drn
摸	drne
揲	dro
搽	drs
捞	dru
拊	dsd
拴	dsf
手	dsh
扌	dsho
抢	dsj
擒	dsjw
抿	dsm
搠	dsms
挫	dss
抡	dsu
播	dti
攥	dtj
捂	dtk
拖	dtl
揪	dtv
拔	dub
拨	dubo
擢	due
挥	dug
探	dui
摺	duk
指	dun
拗	duo
拣	duoi
拭	duos
披	dup
批	duu
揩	duuk
撬	duuu
帚	duy
拄	dvf
拈	dvk
灵	dvl
掉	dvn
扑	dvp
把	dwb
攒	dwh
摅	dwj
拢	dwl
建	dwll
聿	dwly
搀	dwn
搓	dwo
掳	dwol
抟	dwov
挽	dww
掾	dwwy
掀	dxa
蜇	dxe
踅	dxg
抨	dxi
哲	dxk
逝	dxl
誓	dxls
抹	dxm
抹	dxma
揸	dxn
折	dxs
拆	dxv
折	dxz
垦	dyb
撇	dyf
艮	dyg
摘	dyi
恳	dyj
擅	dyk
攘	dykr
退	dyl
抗	dyo
挤	dyr
掖	dys
摔	dyu
搐	dyub
抵	dyv
揿	dza
挠	dzh
挪	dzi
拂	dzif
招	dzk
撼	dzkj
搦	dzn
抒	dzs
揉	dzx
找	dzz
蟾	eah
蟓	eak
蜻	eam
妥	eat
奎	ebb
蛙	ebbw
舂	ebc
奋	ebf
遣	ebl
螋	eblf
螺	ebu
舀	eby
蚰	ebyo
贵	ecg
虫	ech
夼	eck
遗	ecl
泰	ect
大	eda
大	edai
夺	edd
奇	edk
欹	edka
蚵	edkh
蚵	edkk
剞	edkz
虢	edw
蝰	eeb
蚕	eec
蜚	eef
蚨	eefu
辇	eeg
蜉	eeh
蛱	eei
蛉	eej
蛤	eek
蚌	eel
蝓	eem
替	een
蝽	eenc
螓	eet
奏	eez
蛏	efb
蜂	efe
夫	efu
辈	egb
虻	egm
蟑	egn
螃	egy
螗	ehd
孚	ehf
郛	ehi
蠊	ehil
螈	ehk
蛎	ehl
奢	ehn
乳	eho
蜢	ehom
螳	eib
颊	eic
岛	eid
蜷	eie
敛	eif
夹	eig
郏	eii
夹	eij
蚣	eijg
蜕	eik
蛸	eim
鹩	ein
蝉	eio
佥	eiq
蚯	eiqi
蛳	eiqy
奁	eir
邬	eiw
蝤	eiy
剑	eiz
悲	ejb
领	ejc
耷	ejd
邻	eji
螅	ejj
蠼	ejjf
令	ejl
蛹	ejo
瓴	ejol
忝	ejt
翎	eju
螭	ejw
蛑	ejwm
蚜	ejy
颌	ekc
拿	ekd
鸽	eke
蜈	ekew
蝗	ekf
蝈	ekfv
合	ekg
合	ekh
蛔	ekhu
命	ekj
龠	ekk
蜱	ekm
蝇	ekn
盒	eko
蛐	ekr
售	eks
吞	ekt
翕	eku
歙	ekua
蜗	ekus
龛	ekw
艳	ela
达	eld
慧	ele
雠	elec
彗	eled
丰	elf
砉	elfh
蚶	elh
隽	elj
蛞	elk
契	elz
挈	elzd
恝	elzj
蜓	emb
寿	emd
焘	emdv
蛾	emdz
蛄	emg
蜒	emgl
邦	emi
蝴	emm
舍	ems
蛛	emx
舒	emz
觎	emzh
愈	emzj
逾	emzl
毹	emzu
俞	emzy
蝎	ena
春	enc
蠢	ene
鹌	enea
鸟	eni
蚪	enp
蠕	ent
蜾	enx
奄	eny
蜴	enyy
蝼	eoa
贪	eoc
爵	eod
鹞	eoe
凫	eof
蛊	eog
虹	eoh
夯	eoha
念	eoj
虮	eoji
虹	eoji
含	eok
颔	eokc
遥	eol
虬	eoq
蜞	eoqi
繇	eou
蟛	eoup
衾	eoy
蜿	epm
奔	epr
隼	eps
蛇	epu
蝙	epur
鸵	eput
蝻	epux
韭	eqj
蛭	eqjb
蝠	eqk
蟥	erb
鹱	ere
蠖	eref
蜡	ern
蟆	erne
螬	ernn
蝶	ero
蠛	erov
爽	err
蠓	eru
蝾	erux
蟒	erw
螨	erwm
三	esa
蜍	esd
蚧	esi
蟠	eti
蟋	etij
蜘	etk
蚱	etl
蝮	etn
蝌	etnp
虼	eto
秦	etq
蛆	etqu
蜊	etz
蚺	eub
蜩	eubk
奚	eue
受	euf
翡	eufe
规	euh
蚝	euha
觅	euhm
蚬	euhx
蟪	euj
舜	eum
螟	eun
蚴	euo
蚋	eus
套	eut
蚍	euu
牵	euw
螂	evd
鹪	eve
蛀	evf
态	evj
焦	evji
奈	evn
蚁	evr
太	evt
虾	evx
劁	evz
爰	ewf
蟮	ewi
奉	ewl
蚂	ewm
夸	ewo
匏	ewoj
瓠	ewoo
蜣	ewoq
刳	ewoz
爬	ewp
乌	ewu
蛘	ewy
采	exc
集	exj
彩	exu
蜥	exx
枭	exxi
袅	eyn
裴	eyp
蚊	eyr
斐	eyrf
蛴	eyri
蛟	eyrj
蝣	eyt
蟀	eyu
螵	eyv
爪	ezh
蛲	ezhn
隹	ezhu
蜮	ezk
蚓	ezl
夷	ezy
碡	faa
碛	fac
欢	fah
砍	fak
确	fao
玖	fav
硅	fbb
砝	fbj
惫	fbjb
珐	fbjf
磕	fbjo
圣	fbs
泵	fcb
璎	fcc
磲	fci
瑙	fck
硕	fcs
顼	fcx
石	fda
碌	fdc
对	fdd
玎	fddi
怼	fdj
珂	fdk
艰	fdy
礓	feb
琦	fed
碓	fedu
硷	fei
硖	feix
玲	fej
鸡	feji
逢	fel
瑜	fem
难	fen
瑶	feo
瑷	feu
礁	fev
瑗	few
琴	ffe
磊	fff
颡	fffc
叠	ffft
桑	fffx
磉	fffx
瑟	ffj
珞	ffk
硌	ffkg
玫	ffm
双	ffs
琵	ffu
珏	ffv
琶	ffw
友	ffy
硫	fgc
砗	fgch
琉	fgcl
璐	fgf
珩	fgg
碚	fgk
琏	fgl
砬	fgla
逄	fglp
璋	fgn
磴	fgo
磅	fgy
碲	fgyd
珧	fhc
瑭	fhd
矿	fhk
砺	fhl
琚	fhm
碾	fhr
琐	fic
邓	fid
璀	fie
班	fif
碳	fifv
环	fih
瑕	fil
硝	fim
磁	fiq
碰	fir
砂	fis
瑞	fit
砸	fiy
玢	fiz
雄	fje
珥	fjer
碜	fjeu
夏	fjf
琊	fji
面	fjm
璃	fjw
砑	fjy
戛	fjz
雒	fke
碧	fkf
各	fkg
瑰	fkh
噩	fkk
璁	fkm
碑	fkmp
珀	fkp
球	fkq
硇	fkr
右	fky
在	flb
存	flh
硪	fmd
磔	fmg
郁	fmi
砭	fml
硼	fmm
瑚	fmmh
珠	fmx
矽	fmxi
有	fmy
碣	fna
理	fnb
冬	fnd
碍	fnda
螽	fne
瑁	fnj
砷	fns
琨	fnu
矶	foj
玑	foji
珈	fok
磷	fom
砀	fomm
劝	foq
琪	foqi
砜	for
矾	fov
务	fow
左	foz
礅	fph
琼	fpi
碗	fpm
琬	fpmj
碇	fpq
攵	fpu
碥	fpur
砣	fput
琮	fpv
碹	fpw
硬	fqn
磺	frb
璜	frbi
礴	frc
砘	frd
硭	frg
础	fri
珙	frig
弄	frl
礤	frm
弄	frn
碟	fro
砹	frr
瑛	fru
礞	fruw
璞	frw
研	fry
硎	frz
石	fsh
珉	fsm
砼	fso
珍	fsu
玳	fsud
砟	ftl
玻	fub
碉	fubk
珲	fug
观	fuh
砚	fuhy
琛	fui
砾	fuil
瑾	fuj
破	fup
硐	fuq
碘	fur
砒	fuu
珊	fuuq
砌	fuz
